"","Report_Year","NeighbourhoodName","Premises_Type"
"146",2014,"Greenwood-Coxwell","House"
"147",2014,"Waterfront Communities-The Island","Outside"
"148",2014,"Bay Street Corridor","Outside"
"149",2014,"Annex","House"
"150",2014,"Leaside-Bennington","Other"
"151",2014,"Bay Street Corridor","Outside"
"152",2014,"University","Outside"
"153",2014,"Lawrence Park North","Outside"
"154",2014,"Regent Park","Outside"
"155",2014,"Cabbagetown-South St.James Town","Commercial"
"156",2014,"Moss Park","Outside"
"157",2014,"Cabbagetown-South St.James Town","Apartment"
"158",2014,"South Riverdale","House"
"159",2014,"Waterfront Communities-The Island","Outside"
"160",2014,"Church-Yonge Corridor","Outside"
"161",2014,"Waterfront Communities-The Island","Other"
"162",2014,"Waterfront Communities-The Island","Apartment"
"163",2014,"Highland Creek","House"
"164",2014,"Lawrence Park North","House"
"165",2014,"Rosedale-Moore Park","Outside"
"166",2014,"Bay Street Corridor","Outside"
"167",2014,"Moss Park","Outside"
"168",2014,"Moss Park","Outside"
"169",2014,"Waterfront Communities-The Island","Apartment"
"170",2014,"Bay Street Corridor","Apartment"
"171",2014,"Thorncliffe Park","Apartment"
"172",2014,"Kingsway South","House"
"173",2014,"The Beaches","Apartment"
"174",2014,"Flemingdon Park","Outside"
"175",2014,"Wexford/Maryvale","Outside"
"176",2014,"Waterfront Communities-The Island","Outside"
"177",2014,"Woburn","Outside"
"178",2014,"The Beaches","Outside"
"179",2014,"University","Educational"
"180",2014,"Bay Street Corridor","Commercial"
"181",2014,"High Park North","Commercial"
"182",2014,"Glenfield-Jane Heights","Outside"
"183",2014,"Waterfront Communities-The Island","Apartment"
"184",2014,"Church-Yonge Corridor","Outside"
"185",2014,"Bay Street Corridor","Outside"
"186",2014,"Bay Street Corridor","Other"
"187",2014,"Mount Dennis","Commercial"
"188",2014,"Willowdale West","Outside"
"189",2014,"Woodbine Corridor","Outside"
"190",2014,"Cabbagetown-South St.James Town","Educational"
"191",2014,"Waterfront Communities-The Island","Outside"
"192",2014,"Church-Yonge Corridor","Outside"
"193",2014,"Kensington-Chinatown","Outside"
"194",2014,"East End-Danforth","Outside"
"195",2014,"Birchcliffe-Cliffside","House"
"196",2014,"University","House"
"197",2014,"Church-Yonge Corridor","Outside"
"198",2014,"Mount Pleasant East","Commercial"
"199",2014,"Downsview-Roding-CFB","House"
"200",2014,"Tam OShanter-Sullivan","Educational"
"201",2014,"The Beaches","Other"
"202",2014,"Church-Yonge Corridor","Other"
"203",2014,"University","Educational"
"204",2014,"The Beaches","Outside"
"205",2014,"Roncesvalles","House"
"206",2014,"Waterfront Communities-The Island","Apartment"
"207",2014,"Waterfront Communities-The Island","Apartment"
"208",2014,"Bay Street Corridor","Outside"
"209",2014,"South Riverdale","Outside"
"210",2014,"Bay Street Corridor","Outside"
"211",2014,"Bay Street Corridor","Outside"
"212",2014,"South Riverdale","Other"
"213",2014,"East End-Danforth","Other"
"214",2014,"Leaside-Bennington","House"
"215",2014,"Alderwood","Outside"
"216",2014,"Downsview-Roding-CFB","Outside"
"217",2014,"Bathurst Manor","Outside"
"218",2014,"Bay Street Corridor","Outside"
"219",2014,"Church-Yonge Corridor","Outside"
"220",2014,"Danforth","Transit"
"221",2014,"Centennial Scarborough","Transit"
"222",2014,"Downsview-Roding-CFB","House"
"223",2014,"East End-Danforth","Other"
"224",2014,"Bay Street Corridor","Outside"
"225",2014,"Etobicoke West Mall","House"
"226",2014,"Church-Yonge Corridor","Outside"
"227",2014,"Bay Street Corridor","Other"
"228",2014,"Niagara","Apartment"
"229",2014,"Bay Street Corridor","Outside"
"230",2014,"East End-Danforth","Commercial"
"231",2014,"Niagara","Apartment"
"232",2014,"North Riverdale","Outside"
"233",2014,"Church-Yonge Corridor","Outside"
"234",2014,"Bay Street Corridor","Outside"
"235",2014,"Bay Street Corridor","Outside"
"236",2014,"Dovercourt-Wallace Emerson-Junction","House"
"237",2014,"Church-Yonge Corridor","Apartment"
"238",2014,"Church-Yonge Corridor","Outside"
"239",2014,"Downsview-Roding-CFB","Outside"
"240",2014,"Little Portugal","Other"
"241",2014,"Bay Street Corridor","Outside"
"242",2014,"Yorkdale-Glen Park","House"
"243",2014,"Church-Yonge Corridor","Other"
"244",2014,"Annex","House"
"245",2014,"Bay Street Corridor","Outside"
"246",2014,"South Riverdale","Apartment"
"247",2014,"Annex","Outside"
"248",2014,"Long Branch","House"
"249",2014,"Beechborough-Greenbrook","Commercial"
"250",2014,"Cabbagetown-South St.James Town","House"
"251",2014,"Mount Pleasant West","Educational"
"252",2014,"Church-Yonge Corridor","Outside"
"253",2014,"Lawrence Park North","Transit"
"254",2014,"Annex","House"
"255",2014,"Waterfront Communities-The Island","Outside"
